web-scraper-order,web-scraper-start-url,next,prod,prod-href,name,price,dis
"1696073946-1","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/?page=2","Компрессор DGM AC-153","https://www.bigam.ru/product/dgm-ac-153-kompressor-260-l-min-8-atm-koaksialnyi-maslyanyi-resiver-50-l-220-v-1-8-kvt-ac-153-1464425/","Компрессор DGM AC-153","15 180 ₽","Характеристики 
                        Производитель
                          
                        Вес, кг
                         31
                        Рабочее давление, бар
                         8
                        Объем ресивера, л
                         50
                        Компрессор
                         поршневой коаксиальный (прямой привод)
                        Мощность, Вт
                         1800
                        Напряжение сети, В
                         220
                        Диаметр соединения, дюйм
                         1/4 Все характеристики"
"1696073952-2","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/?page=2","Компрессор воздушный Brait КМ-1500/24 20.01.001.043","https://www.bigam.ru/product/brait-kompressor-vozdushnyj-km-150024-1-5kvt-240lm-8bar-resiver-24l-20-01-001-043-1148976/","Компрессор воздушный Brait КМ-1500/24 20.01.001.043","9 206 ₽","Характеристики 
                        Производитель
                          
                        Вес, кг
                         22
                        Рабочее давление, бар
                         8
                        Объем ресивера, л
                         24
                        Компрессор
                         поршневой коаксиальный (прямой привод)
                        Мощность, Вт
                         1500
                        Напряжение сети, В
                         220
                        Производительность, л/мин
                         240 Все характеристики"
"1696073959-3","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/?page=2","Компрессор ременной Remeza СБ4/Ф-500.LT100","https://www.bigam.ru/product/kompressor-remeza-sb4f-500-lt100-444684/","Компрессор ременной Remeza СБ4/Ф-500.LT100","193 115 ₽","Характеристики 
                        Производитель
                          
                        Вес, кг
                         350
                        Рабочее давление, бар
                         10
                        Объем ресивера, л
                         500
                        Компрессор
                         поршневой ременной
                        Мощность, Вт
                         7500
                        Напряжение сети, В
                         380
                        Диаметр соединения, дюйм
                         3/4 Все характеристики"
"1696073965-4","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/?page=2","Компрессор масляный воздушный Fubag DC 320/24 CM2.5 614319530","https://www.bigam.ru/product/fubag-kompressor-dc-32024-cm2-5-320-lmin-24l-8bar-1-8kvt-x109901305-1090346/","Компрессор масляный воздушный Fubag DC 320/24 CM2.5 614319530","22 630 ₽","Характеристики 
                        Производитель
                          
                        Вес, кг
                         22
                        Рабочее давление, бар
                         8
                        Объем ресивера, л
                         24
                        Компрессор
                         поршневой коаксиальный (прямой привод)
                        Мощность, Вт
                         1800
                        Напряжение сети, В
                         220
                        Производительность, л/мин
                         320 Все характеристики"
"1696073992-5","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/?page=2","Компрессор поршневой безмасляный Patriot WO 6-180 525301910","https://www.bigam.ru/product/patriot-wo-6-180-kompressor-525301910-1489150/","Компрессор поршневой безмасляный Patriot WO 6-180 525301910","12 370 ₽","Характеристики 
                        Производитель
                          
                        Вес, кг
                         10
                        Рабочее давление, бар
                         8
                        Объем ресивера, л
                         6
                        Компрессор
                         поршневой безмасляный коаксиальный
                        Мощность, Вт
                         1100
                        Напряжение сети, В
                         220
                        Диаметр соединения, дюйм
                         1/4 Все характеристики"
"1696074018-6","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/?page=2","Компрессор поршневой безмасляный Patriot WO 50-300 525301925","https://www.bigam.ru/product/patriot-wo-50-300-kompressor-porshnevoi-bezmaslyanyi-525301925-1465309/","Компрессор поршневой безмасляный Patriot WO 50-300 525301925","27 670 ₽","Характеристики 
                        Производитель
                          
                        Вес, кг
                         37
                        Рабочее давление, бар
                         8
                        Объем ресивера, л
                         50
                        Компрессор
                         поршневой безмасляный коаксиальный
                        Мощность, Вт
                         2000
                        Напряжение сети, В
                         220
                        Производительность, л/мин
                         300 Все характеристики"
"1696074025-7","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/?page=2","Компрессор ременной Remeza СБ4/Ф-270.LB50","https://www.bigam.ru/product/kompressor-remeza-sb4f-270-lb50-444686/","Компрессор ременной Remeza СБ4/Ф-270.LB50","131 800 ₽","Характеристики 
                        Производитель
                          
                        Вес, кг
                         195
                        Рабочее давление, бар
                         10
                        Объем ресивера, л
                         270
                        Компрессор
                         поршневой ременной
                        Мощность, Вт
                         4000
                        Напряжение сети, В
                         380
                        Диаметр соединения, дюйм
                         1/2, 1/4 Все характеристики"
"1696074038-8","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/?page=2","Компрессор поршневой масляный Aurora AIR-25","https://www.bigam.ru/product/kompressor-aurora-air-25-991488/","Компрессор поршневой масляный Aurora AIR-25","14 700 ₽","Характеристики 
                        Производитель
                          
                        Вес, кг
                         24
                        Рабочее давление, бар
                         8
                        Объем ресивера, л
                         24
                        Компрессор
                         поршневой коаксиальный (прямой привод)
                        Мощность, Вт
                         1500
                        Напряжение сети, В
                         230
                        Диаметр соединения, дюйм
                         1/4 Все характеристики"
"1696074066-9","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/?page=2","Компрессор поршневой масляный Aurora WIND-25","https://www.bigam.ru/product/kompressor-aurora-wind-25-991495/","Компрессор воздушный Aurora WIND-25","12 474 ₽","Характеристики 
                        Производитель
                          
                        Вес, кг
                         27
                        Рабочее давление, бар
                         8
                        Объем ресивера, л
                         24
                        Компрессор
                         поршневой коаксиальный (прямой привод)
                        Мощность, Вт
                         1800
                        Напряжение сети, В
                         230
                        Диаметр соединения, дюйм
                         1/4 Все характеристики"
"1696074200-10","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/","","Компрессор поршневой масляный Patriot Euro 24/240 525306365","https://www.bigam.ru/product/kompressor-patriot-pt-24240-467034/","Компрессор поршневой масляный Patriot Euro 24/240 525306365","11 160 ₽","Характеристики 
                        Производитель
                          
                        Вес, кг
                         21.5
                        Рабочее давление, бар
                         8
                        Объем ресивера, л
                         24
                        Компрессор
                         поршневой коаксиальный (прямой привод)
                        Мощность, Вт
                         1500
                        Напряжение сети, В
                         220
                        Производительность, л/мин
                         240 Все характеристики"
"1696074237-11","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/","","Воздушный масляный компрессор Fubag VCF/50 СM3 45681465","https://www.bigam.ru/product/kompressor-fubag-vcf50-sm3-747212/","Воздушный компрессор Fubag VCF/50 СM3","65 270 ₽","Характеристики 
                        Производитель
                          
                        Вес, кг
                         50
                        Рабочее давление, бар
                         10
                        Объем ресивера, л
                         50
                        Компрессор
                         поршневой ременной
                        Мощность, Вт
                         2200
                        Напряжение сети, В
                         220
                        Производительность, л/мин
                         440 Все характеристики"
"1696074299-12","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/","","Компрессор масляный Fubag AIR MASTER KIT (FC 230/24 + 6 предметов)","https://www.bigam.ru/product/kompressor-fubag-air-master-kit6-fc-230246-predmetov-592428/","Компрессор Fubag Air Master Kit+ 6 предметов","23 960 ₽","Характеристики 
                        Производитель
                          
                        Вес, кг
                         26
                        Рабочее давление, бар
                         8
                        Объем ресивера, л
                         24
                        Компрессор
                         поршневой коаксиальный (прямой привод)
                        Мощность, Вт
                         1500
                        Напряжение сети, В
                         220
                        Диаметр соединения, дюйм
                         1/4 Все характеристики"
"1696074354-13","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/","","Воздушный масляный компрессор Fubag VCF/100 CM3 45681472","https://www.bigam.ru/product/kompressor-fubag-vcf100-cm3-440lmin-100l-10bar-2-2kvt-220v-747476/","Воздушный компрессор Fubag VCF/100 CM3","71 420 ₽","Характеристики 
                        Производитель
                          
                        Вес, кг
                         71
                        Рабочее давление, бар
                         10
                        Объем ресивера, л
                         100
                        Компрессор
                         поршневой ременной
                        Мощность, Вт
                         2200
                        Напряжение сети, В
                         220
                        Производительность, л/мин
                         440 Все характеристики"
"1696074393-14","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/","","Масляный компрессор Fubag FC 230/24 CM2 61431378","https://www.bigam.ru/product/kompressor-fubag-fc-23024-cm2-792317/","Масляный компрессор Fubag FC 230/24 CM2","16 870 ₽","Характеристики 
                        Производитель
                          
                        Вес, кг
                         23
                        Рабочее давление, бар
                         8
                        Объем ресивера, л
                         24
                        Компрессор
                         поршневой коаксиальный (прямой привод)
                        Мощность, Вт
                         1500
                        Напряжение сети, В
                         220
                        Диаметр соединения, дюйм
                         1/4 Все характеристики"
"1696074405-15","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/","","Компрессор безмасляный Fubag HANDY MASTER KIT (OL 195 + 5 предметов)","https://www.bigam.ru/product/kompressor-fubag-handy-master-kit5-527301/","Компрессор безмасляный Fubag HANDY MASTER KIT (OL 195 + 5 предметов)","11 420 ₽","Характеристики 
                        Производитель
                          
                        Вес, кг
                         4
                        Рабочее давление, бар
                         8
                        Компрессор
                         поршневой безмасляный коаксиальный
                        Мощность, Вт
                         1100
                        Напряжение сети, В
                         220
                        Производительность, л/мин
                         180
                        Число оборотов, об/мин
                         3400 Все характеристики"
"1696074417-16","https://www.bigam.ru/catalog/kompressory-vozdushnye-6032/","","Компрессор ременной Remeza СБ4/С-50.LB30А","https://www.bigam.ru/product/kompressor-remeza-sb4s-50-lb-30a-220v-172316/","Компрессор Remeza СБ4/С-50 LB 30 А (220 В)","55 515 ₽","Характеристики 
                        Производитель
                          
                        Вес, кг
                         80
                        Рабочее давление, бар
                         10
                        Объем ресивера, л
                         50
                        Компрессор
                         поршневой ременной
                        Мощность, Вт
                         2200
                        Напряжение сети, В
                         220
                        Диаметр соединения, дюйм
                         1/4 Все характеристики"
