web-scraper-order,web-scraper-start-url,next,prod,prod-href,name,price,dis
"1696073012-1","https://artcompas.ru/kompressory/","https://artcompas.ru/kompressory/?PAGEN_1=2","Huberth RP304100 Воздушный компрессор 100 - 540 л/мин, 380 В","https://artcompas.ru/kompressory/vozdushnyj-kompressor-huberth-100-540-lmin-3fh380vrp304100/","Huberth RP304100 Воздушный компрессор 100 - 540 л/мин, 380 В","57 000 руб.","Производительность, л/мин"
"1696073015-2","https://artcompas.ru/kompressory/","https://artcompas.ru/kompressory/?PAGEN_1=2","Huberth RP103100 Воздушный компрессор 100 - 420 л/мин, 220 В","https://artcompas.ru/kompressory/huberth-100-420-lmin-1fh220v-vozdushnyj-kompressor-rp103100r/","Huberth RP103100 Воздушный компрессор 100 - 420 л/мин, 220 В","55 000 руб.","Производительность, л/мин"
"1696073018-3","https://artcompas.ru/kompressory/","https://artcompas.ru/kompressory/?PAGEN_1=2","Huberth RP303100 Воздушный компрессор 100 - 420 л/мин, 380 В","https://artcompas.ru/kompressory/huberth-100-420-lmin-3fh380v-vozdushnyj-kompressorrp303100/","Huberth RP303100 Воздушный компрессор 100 - 420 л/мин, 380 В","49 000 руб.","Производительность, л/мин"
"1696073021-4","https://artcompas.ru/kompressory/","https://artcompas.ru/kompressory/?PAGEN_1=2","Компрессор с прямой передачей безмасляный Кратон AC-450-100-OFS","https://artcompas.ru/kompressory/kompressor-s-pryamoy-peredachey-bezmaslyanyy-kraton-ac-450-100-ofs/","Компрессор с прямой передачей безмасляный Кратон AC-450-100-OFS","42 850 руб.","Производительность, л/мин"
"1696073024-5","https://artcompas.ru/kompressory/","https://artcompas.ru/kompressory/?PAGEN_1=2","Бесшумный компрессор Pegas Pneumatic PG-2800*2 безмасляный","https://artcompas.ru/kompressory/besshumnyy-kompressor-pegas-pneumatic-pg-2800-2-bezmaslyanyy/","Бесшумный компрессор Pegas Pneumatic PG-2800*2 безмасляный","41 500 руб.","Производительность, л/мин"
"1696073027-6","https://artcompas.ru/kompressory/","https://artcompas.ru/kompressory/?PAGEN_1=2","Компрессор с ременной передачей Кратон AC-440-100-BDV","https://artcompas.ru/kompressory/kompressory_dlya_kraskopultov/kompressor-s-remennoy-peredachey-kraton-ac-440-100-bdv/","Компрессор с ременной передачей Кратон AC-440-100-BDV","37 000 руб.","Производительность, л/мин"
"1696073031-7","https://artcompas.ru/kompressory/","https://artcompas.ru/kompressory/?PAGEN_1=2","Генератор бензиновый инверторный Кратон GG-4500i","https://artcompas.ru/kompressory/generator-benzinovyy-invertornyy-kraton-gg-4500i/","Генератор бензиновый инверторный Кратон GG-4500i","34 900 руб.","Уровень шума"
"1696073034-8","https://artcompas.ru/kompressory/","https://artcompas.ru/kompressory/?PAGEN_1=2","Компрессор с ременной передачей Кратон AC-300-100-BDV","https://artcompas.ru/kompressory/kompressor-s-remennoy-peredachey-kraton-ac-300-100-bdv/","Компрессор с ременной передачей Кратон AC-300-100-BDV","33 500 руб.","Производительность, л/мин"
"1696073037-9","https://artcompas.ru/kompressory/","https://artcompas.ru/kompressory/?PAGEN_1=2","Компрессор Кратон с прямой передачей Кратон AC-360-100-DDV","https://artcompas.ru/kompressory/kompressory_dlya_kraskopultov/kompressor-kraton-s-pryamoy-peredachey-kraton-ac-360-100-ddv/","Компрессор Кратон с прямой передачей Кратон AC-360-100-DDV","32 500 руб.","Производительность, л/мин"
"1696073040-10","https://artcompas.ru/kompressory/","https://artcompas.ru/kompressory/?PAGEN_1=2","Генератор бензиновый инверторный Кратон GG-3800i","https://artcompas.ru/kompressory/generator-benzinovyy-invertornyy-kraton-gg-3800i/","Генератор бензиновый инверторный Кратон GG-3800i","31 500 руб.","Уровень шума"
"1696073043-11","https://artcompas.ru/kompressory/","https://artcompas.ru/kompressory/?PAGEN_1=2","Компрессор с ременной передачей Кратон AC-440-50-BDV","https://artcompas.ru/kompressory/kompressor-s-remennoy-peredachey-kraton-ac-440-50-bdv/","Компрессор с ременной передачей Кратон AC-440-50-BDV","29 000 руб.","Производительность, л/мин"
"1696073046-12","https://artcompas.ru/kompressory/","https://artcompas.ru/kompressory/?PAGEN_1=2","Компрессор с ременной передачей Кратон AC-300-50-BDV","https://artcompas.ru/kompressory/kompressory_dlya_kraskopultov/kompressor-s-remennoy-peredachey-kraton-ac-300-50-bdv/","Компрессор с ременной передачей Кратон AC-300-50-BDV","28 000 руб.","Производительность, л/мин"
"1696073049-13","https://artcompas.ru/kompressory/","https://artcompas.ru/kompressory/?PAGEN_1=2","Компрессор с прямой передачей безмасляный Кратон AC-420-50-OFHS","https://artcompas.ru/kompressory/kompressory_dlya_kraskopultov/kraton/kraton-ac-420-50-ofhs-kompressor-s-pryamoy-peredachey-bezmaslyanyy/","Компрессор с прямой передачей безмасляный Кратон AC-420-50-OFHS","25 000 руб.","Производительность, л/мин"
"1696073052-14","https://artcompas.ru/kompressory/","https://artcompas.ru/kompressory/?PAGEN_1=2","Компрессор TNT Air AS-196","https://artcompas.ru/kompressory/kompressor-tnt-air-as-196/","Компрессор TNT Air AS-196","25 000 руб.","Производительность, л/мин"
