web-scraper-order,web-scraper-start-url,next,prod,prod-href,name,price,dis
"1696075210-1","https://compressorgroup.ru/catalog/kompressory/","https://compressorgroup.ru/catalog/kompressory/?PAGEN_1=2","Поршневой компрессор Fubag B6800B/200 СТ5","https://compressorgroup.ru/catalog/item/porshnevoy_kompressor_fubag_b6800b_200_st5/","Поршневой компрессор Fubag B6800B/200 СТ5","124 280","OEM Артикул
                45681533
            
                    
                Вид компрессора
                поршневой
            
                    
                Производительность, л/мин
                690
            
                    
                Давление, бар
                10
            
                    
                Тип привода
                ременной
            
                    
                Ресивер
                есть
            
                    
                Объем ресивера, л
                200
            
                    
                Тип ресивера
                горизонтальный
            
                    
                Мощность, кВт
                4
            
                    
                Тип двигателя
                электрический
            
                    
                Рабочее напряжение
                380 В
            
                    
                Осушитель
                нет
            
                    
                Тип смазки
                масляный
            
                    
                Присоед. Размер
                рапид
            
                    
                Вид транспортировки
                на колесах
            
                    
                Манометр
                есть
            
                    
                Частотный преобразователь
                нет
            
                    
                Тип охлаждения
                воздушное
            
                
                                Габариты
                
                    
                Ширина, мм
                480
            
                    
                Высота, мм
                1050
            
                    
                Длина, мм
                1460
            
                    
                Вес, кг
                138
            
                
                                О товаре
                
                    
                Страна происхождения
                Германия
            
                    
                Гарантия производителя
                12 мес
            
                
            										
										
										
										
                                                                            
                                
                            
                                                                                                    
                                
                                    
Поршневой компрессор Fubag B6800B/200 СТ5  — простой в использовании и текущем обслуживании поршневый компрессор, способный обеспечить поток сжатого воздуха со стабильными характеристиками, и при этом достаточно нетребовательный к условиям эксплуатации. Поршневая техника этой марки отличается отличным соотношением цены/качества и в сочетании с хорошей производительностью. 

Производительность компрессора Поршневой компрессор Fubag B6800B/200 СТ5  — 690 (рабочее давление составляет ), мощность двигателя модели — , питание — 380 В. Вес поршневого компрессора Поршневой компрессор Fubag B6800B/200 СТ5  составляет , размеры по длине, ширине и высоте соответственно — 1460  х480 х 1050 . 

Приобрести компрессор Поршневой компрессор Fubag B6800B/200 СТ5  в компании «Компрессорофф» вы можете не выгодных условиях — цены на сайте носят рекомендательный характер, и мы охотно предоставляем нашим покупателям скидки на оборудование. Чтобы подробней узнать об условиях покупки, закажите обратный звонок, воспользуйтесь услугами онлайн-консультанта или позвоните нам по телефону 8 (495) 120-81-84.                                 
                            
                                            
                    
                        
                                    
        Сертификат"
"1696075213-2","https://compressorgroup.ru/catalog/kompressory/","https://compressorgroup.ru/catalog/kompressory/?PAGEN_1=2","Поршневой компрессор Бежецкий К1400/8","https://compressorgroup.ru/catalog/item/porshnevoy_kompressor_bezhetskiy_k1400_8/","Поршневой компрессор Бежецкий К1400/8","119 800","Вид компрессора
                поршневой
            
                    
                Производительность, л/мин
                1400
            
                    
                Давление, бар
                8
            
                    
                Тип привода
                ременной
            
                    
                Ресивер
                есть
            
                    
                Объем ресивера, л
                430
            
                    
                Тип ресивера
                горизонтальный
            
                    
                Мощность, кВт
                7.5
            
                    
                Тип двигателя
                электрический
            
                    
                Рабочее напряжение
                380 В
            
                    
                Осушитель
                нет
            
                    
                Тип смазки
                масляный
            
                    
                Вид транспортировки
                на колесах
            
                    
                Манометр
                есть
            
                    
                Частотный преобразователь
                нет
            
                    
                Тип охлаждения
                воздушное
            
                
                                Габариты
                
                    
                Ширина, мм
                660
            
                    
                Высота, мм
                1220
            
                    
                Длина, мм
                1680
            
                    
                Вес, кг
                245
            
                
                                О товаре
                
                    
                Страна происхождения
                Россия
            
                    
                Гарантия производителя
                12 мес
            
                
            										
										
										
										
                                                                            
                                
                            
                                                                        								
						                    
                    
                        
                                    
        Сертификат"
"1696075216-3","https://compressorgroup.ru/catalog/kompressory/","https://compressorgroup.ru/catalog/kompressory/?PAGEN_1=2","Поршневой компрессор Remeza СБ4/С-100.OLD15T","https://compressorgroup.ru/catalog/item/porshnevoy_kompressor_remeza_sb4_s_100_old15t-256886291/","Поршневой компрессор Remeza СБ4/С-100.OLD15T","110 044","OEM Артикул
                8098610
            
                    
                Вид компрессора
                поршневой
            
                    
                Производительность, л/мин
                400
            
                    
                Давление, бар
                8
            
                    
                Тип привода
                прямой
            
                    
                Ресивер
                есть
            
                    
                Объем ресивера, л
                100
            
                    
                Тип ресивера
                горизонтальный
            
                    
                Мощность, кВт
                2.2
            
                    
                Тип двигателя
                электрический
            
                    
                Рабочее напряжение
                220 В
            
                    
                Осушитель
                нет
            
                    
                Тип смазки
                безмасляный
            
                    
                Присоед. Размер
                1/4""+1/4""
            
                    
                Манометр
                есть
            
                    
                Частотный преобразователь
                нет
            
                    
                Тип охлаждения
                воздушное
            
                
                                Габариты
                
                    
                Ширина, мм
                420
            
                    
                Высота, мм
                900
            
                    
                Длина, мм
                1180
            
                    
                Вес, кг
                87
            
                
                                О товаре
                
                    
                Страна происхождения
                Беларусь
            
                    
                Гарантия производителя
                12 мес
            
                
            										
										
										
										
                                                                            
                                
                            
                                                                        								
						                    
                    
                        
                                    
        Сертификат"
"1696075219-4","https://compressorgroup.ru/catalog/kompressory/","https://compressorgroup.ru/catalog/kompressory/?PAGEN_1=2","Поршневой компрессор Remeza СБ4/С-100.LB50","https://compressorgroup.ru/catalog/item/porshnevoy_kompressor_remeza_sb4_s_100_lb50-1596500126/","Поршневой компрессор Remeza СБ4/С-100.LB50","107 894","OEM Артикул
                20646
            
                    
                Вид компрессора
                поршневой
            
                    
                Производительность, л/мин
                690
            
                    
                Давление, бар
                10
            
                    
                Тип привода
                ременной
            
                    
                Ресивер
                есть
            
                    
                Объем ресивера, л
                100
            
                    
                Тип ресивера
                горизонтальный
            
                    
                Мощность, кВт
                4.0
            
                    
                Тип двигателя
                электрический
            
                    
                Рабочее напряжение
                380 В
            
                    
                Осушитель
                нет
            
                    
                Тип смазки
                масляный
            
                    
                Присоед. Размер
                1/2""
            
                    
                Манометр
                есть
            
                    
                Частотный преобразователь
                нет
            
                    
                Тип охлаждения
                воздушное
            
                
                                Габариты
                
                    
                Ширина, мм
                505
            
                    
                Высота, мм
                1000
            
                    
                Длина, мм
                1150
            
                    
                Вес, кг
                144
            
                
                                О товаре
                
                    
                Страна происхождения
                Беларусь
            
                    
                Гарантия производителя
                12 мес
            
                
            										
										
										
										
                                                                            
                                
                            
                                                                                                    
                                
                                    
	 Компрессор Remeza СБ 4/С-100 LB 50 оборудован ременным приводом, который надежно защищен от повреждений металлическим решетчатым кожухом. Компрессор подключается к трехфазной сети с напряжением 380 В. Компрессор имеет простую конструкцию с хорошим доступом к заливной пробке, крепежу и органам управления, что гарантирует его безопасную эксплуатацию и высокую скорость проведения ТО. Компрессор оснащен манометром для визуального контроля давления и прессостатом для его автоматической регулировки.


 



	Преимущества Remeza СБ 4/С-100 LB 50 20646
	
		Мощный двигатель на 4 кВт;
		Ременная система закрыта защитным кожухом;
		Качественное исполнение;
		Простота эксплуатации;
		Высокое давление на выходе;
		Удобство управления;
		Высокая производительность - 690 л/мин;
		Прочный корпус.
	
 

 

                                
                            
                                            
                    
                        
                                    
        Сертификат"
"1696075222-5","https://compressorgroup.ru/catalog/kompressory/","https://compressorgroup.ru/catalog/kompressory/?PAGEN_1=2","Поршневой компрессор Fubag B6800B/100 СТ5","https://compressorgroup.ru/catalog/item/porshnevoy_kompressor_fubag_b6800b_100_st5/","Поршневой компрессор Fubag B6800B/100 СТ5","102 400","OEM Артикул
                45681526
            
                    
                Вид компрессора
                поршневой
            
                    
                Производительность, л/мин
                690
            
                    
                Давление, бар
                10
            
                    
                Тип привода
                ременной
            
                    
                Ресивер
                есть
            
                    
                Объем ресивера, л
                100
            
                    
                Тип ресивера
                горизонтальный
            
                    
                Мощность, кВт
                4
            
                    
                Тип двигателя
                электрический
            
                    
                Рабочее напряжение
                380 В
            
                    
                Осушитель
                нет
            
                    
                Тип смазки
                масляный
            
                    
                Присоед. Размер
                рапид
            
                    
                Вид транспортировки
                на колесах
            
                    
                Манометр
                есть
            
                    
                Частотный преобразователь
                нет
            
                    
                Тип охлаждения
                воздушное
            
                
                                Габариты
                
                    
                Ширина, мм
                480
            
                    
                Высота, мм
                970
            
                    
                Длина, мм
                1080
            
                    
                Вес, кг
                112
            
                
                                О товаре
                
                    
                Страна происхождения
                Германия
            
                    
                Гарантия производителя
                12 мес
            
                
            										
										
										
										
                                                                            
                                
                            
                                                                                                    
                                
                                    
Поршневой компрессор Fubag B6800B/100 СТ5  — простой в использовании и текущем обслуживании поршневый компрессор, способный обеспечить поток сжатого воздуха со стабильными характеристиками, и при этом достаточно нетребовательный к условиям эксплуатации. Поршневая техника этой марки отличается отличным соотношением цены/качества и в сочетании с хорошей производительностью. 

Производительность компрессора Поршневой компрессор Fubag B6800B/100 СТ5  — 690 (рабочее давление составляет ), мощность двигателя модели — , питание — 380 В. Вес поршневого компрессора Поршневой компрессор Fubag B6800B/100 СТ5  составляет , размеры по длине, ширине и высоте соответственно — 1080  х480 х 970 . 

Приобрести компрессор Поршневой компрессор Fubag B6800B/100 СТ5  в компании «Компрессорофф» вы можете не выгодных условиях — цены на сайте носят рекомендательный характер, и мы охотно предоставляем нашим покупателям скидки на оборудование. Чтобы подробней узнать об условиях покупки, закажите обратный звонок, воспользуйтесь услугами онлайн-консультанта или позвоните нам по телефону 8 (495) 120-81-84.                                 
                            
                                            
                    
                        
                                    
        Сертификат"
"1696075225-6","https://compressorgroup.ru/catalog/kompressory/","https://compressorgroup.ru/catalog/kompressory/?PAGEN_1=2","Поршневой компрессор Бежецкий К1050/8","https://compressorgroup.ru/catalog/item/porshnevoy_kompressor_bezhetskiy_k1050_8/","Поршневой компрессор Бежецкий К1050/8","101 800","Вид компрессора
                поршневой
            
                    
                Производительность, л/мин
                1050
            
                    
                Давление, бар
                8
            
                    
                Тип привода
                ременной
            
                    
                Ресивер
                есть
            
                    
                Объем ресивера, л
                230
            
                    
                Тип ресивера
                горизонтальный
            
                    
                Мощность, кВт
                5.5
            
                    
                Тип двигателя
                электрический
            
                    
                Рабочее напряжение
                380 В
            
                    
                Осушитель
                нет
            
                    
                Тип смазки
                масляный
            
                    
                Вид транспортировки
                на колесах
            
                    
                Манометр
                есть
            
                    
                Частотный преобразователь
                нет
            
                    
                Тип охлаждения
                воздушное
            
                
                                Габариты
                
                    
                Ширина, мм
                580
            
                    
                Высота, мм
                1080
            
                    
                Длина, мм
                1620
            
                    
                Вес, кг
                190
            
                
                                О товаре
                
                    
                Страна происхождения
                Россия
            
                    
                Гарантия производителя
                12 мес
            
                
            										
										
										
										
                                                                            
                                
                            
                                                                        								
						                    
                    
                        
                                    
        Сертификат"
"1696075228-7","https://compressorgroup.ru/catalog/kompressory/","https://compressorgroup.ru/catalog/kompressory/?PAGEN_1=2","Поршневой компрессор Remeza СБ4/С-200.LB40","https://compressorgroup.ru/catalog/item/porshnevoy_kompressor_remeza_sb4_s_200_lb40-763941508/","Поршневой компрессор Remeza СБ4/С-200.LB40","99 197","OEM Артикул
                21208
            
                    
                Вид компрессора
                поршневой
            
                    
                Производительность, л/мин
                580
            
                    
                Давление, бар
                10
            
                    
                Тип привода
                ременной
            
                    
                Ресивер
                есть
            
                    
                Объем ресивера, л
                200
            
                    
                Тип ресивера
                горизонтальный
            
                    
                Мощность, кВт
                3.0
            
                    
                Тип двигателя
                электрический
            
                    
                Рабочее напряжение
                380 В
            
                    
                Осушитель
                нет
            
                    
                Тип смазки
                масляный
            
                    
                Присоед. Размер
                1/2""+1/4""
            
                    
                Манометр
                есть
            
                    
                Частотный преобразователь
                нет
            
                    
                Тип охлаждения
                воздушное
            
                
                                Габариты
                
                    
                Ширина, мм
                640
            
                    
                Высота, мм
                1150
            
                    
                Длина, мм
                1460
            
                    
                Вес, кг
                145
            
                
                                О товаре
                
                    
                Страна происхождения
                Беларусь
            
                    
                Гарантия производителя
                12 мес
            
                
            										
										
										
										
                                                                            
                                
                            
                                                                                                    
                                
                                    
	 Компрессор Remeza СБ 4/С-200 LB 40 применяется для покрасочных работ, накачки шин, продувки фильтров и выполнения других подобных операций с использованием пневмоинструмента. Объём ресивера 200 литров, что существенно сокращает интенсивность рабочих циклов. Специальная опора с наконечниками из нескользящего материала гарантирует высокую устойчивость компрессора в процессе его эксплуатации. 





	 Компрессор СБ4/С-200.LB40 оснащён двумя встроенными манометрами, необходимых для установки оптимального значения давления на выходе ресивера и внутри него. Кроме того, компрессор имеет автоматическое управление, что также делает его использование максимально простым и удобным.



Преимущества Remeza СБ 4/С-200 LB 40 21208

	Удобство управления;
	Высокая производительность - 580 л/мин;
	Устойчивое размещение;
	Простота эксплуатации;
	Мощный двигатель на 3 кВт;
	Высокое давление на выходе;
	Большие охлаждающие ребра.
	Для удобства перемещения оснащен колесами и ручкой 

 



 

 
                                
                            
                                            
                    
                        
                                    
        Сертификат"
"1696075231-8","https://compressorgroup.ru/catalog/kompressory/","https://compressorgroup.ru/catalog/kompressory/?PAGEN_1=2","Поршневой компрессор Fini MK103-90-3","https://compressorgroup.ru/catalog/item/porshnevoy_kompressor_fini_mk103_90_3/","Поршневой компрессор Fini MK103-90-3","100 068","OEM Артикул
                100509286
            
                    
                Вид компрессора
                поршневой
            
                    
                Производительность, л/мин
                365
            
                    
                Давление, бар
                10
            
                    
                Тип привода
                ременной
            
                    
                Ресивер
                есть
            
                    
                Объем ресивера, л
                90
            
                    
                Тип ресивера
                горизонтальный
            
                    
                Мощность, кВт
                2.2
            
                    
                Тип двигателя
                электрический
            
                    
                Рабочее напряжение
                380 В
            
                    
                Осушитель
                нет
            
                    
                Тип смазки
                масляный
            
                    
                Присоед. Размер
                Рапид (EURO)
            
                    
                Вид транспортировки
                на колесах
            
                    
                Манометр
                есть
            
                    
                Частотный преобразователь
                нет
            
                    
                Тип охлаждения
                воздушное
            
                
                                Габариты
                
                    
                Ширина, мм
                475
            
                    
                Высота, мм
                780
            
                    
                Длина, мм
                1070
            
                    
                Вес, кг
                67.5
            
                
                                О товаре
                
                    
                Страна происхождения
                Италия
            
                    
                Гарантия производителя
                12 мес"
"1696075234-9","https://compressorgroup.ru/catalog/kompressory/","https://compressorgroup.ru/catalog/kompressory/?PAGEN_1=2","Поршневой компрессор Remeza СБ4/С-100.LB40В","https://compressorgroup.ru/catalog/item/porshnevoy_kompressor_remeza_sb4_s_100_lb40v/","Поршневой компрессор Remeza СБ4/С-100.LB40В","97 775","OEM Артикул
                21212
            
                    
                Вид компрессора
                поршневой
            
                    
                Производительность, л/мин
                530
            
                    
                Давление, бар
                10
            
                    
                Тип привода
                ременной
            
                    
                Ресивер
                есть
            
                    
                Объем ресивера, л
                100
            
                    
                Тип ресивера
                вертикальный
            
                    
                Мощность, кВт
                3
            
                    
                Тип двигателя
                электрический
            
                    
                Рабочее напряжение
                380 В
            
                    
                Осушитель
                нет
            
                    
                Тип смазки
                масляный
            
                    
                Присоед. Размер
                1/2""+1/4""
            
                    
                Манометр
                есть
            
                    
                Частотный преобразователь
                нет
            
                    
                Тип охлаждения
                воздушное
            
                
                                Габариты
                
                    
                Ширина, мм
                560
            
                    
                Высота, мм
                1300
            
                    
                Длина, мм
                630
            
                    
                Вес, кг
                118
            
                
                                О товаре
                
                    
                Страна происхождения
                Беларусь
            
                    
                Гарантия производителя
                12 мес
            
                
            										
										
										
										
                                                                            
                                
                            
                                                                        								
						                    
                    
                        
                                    
        Сертификат"
"1696075237-10","https://compressorgroup.ru/catalog/kompressory/","https://compressorgroup.ru/catalog/kompressory/?PAGEN_1=2","Поршневой компрессор Бежецкий К-25М2-8","https://compressorgroup.ru/catalog/item/porshnevoy_kompressor_bezhetskiy_k_25m2_8/","Поршневой компрессор Бежецкий К-25М2-8","96 400","Вид компрессора
                поршневой
            
                    
                Производительность, л/мин
                680
            
                    
                Давление, бар
                8
            
                    
                Тип привода
                ременной
            
                    
                Ресивер
                есть
            
                    
                Объем ресивера, л
                120
            
                    
                Тип ресивера
                горизонтальный
            
                    
                Мощность, кВт
                4
            
                    
                Тип двигателя
                электрический
            
                    
                Рабочее напряжение
                380 В
            
                    
                Осушитель
                нет
            
                    
                Тип смазки
                масляный
            
                    
                Присоед. Размер
                1/2""
            
                    
                Вид транспортировки
                на колесах
            
                    
                Манометр
                есть
            
                    
                Частотный преобразователь
                нет
            
                    
                Тип охлаждения
                воздушное
            
                
                            
                    
                Уровень шума, дБ
                78
            
                
                                Габариты
                
                    
                Ширина, мм
                540
            
                    
                Высота, мм
                970
            
                    
                Длина, мм
                1100
            
                    
                Вес, кг
                120
            
                
                                О товаре
                
                    
                Страна происхождения
                Россия
            
                    
                Гарантия производителя
                12 мес
            
                
            										
										
										
										
                                                                            
                                
                            
                                                                        								
						                    
                    
                        
                                    
        Сертификат"
