web-scraper-order,web-scraper-start-url,next,item,item-href,name,price,describtion
"1696074631-90","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/15","Электродвигатель асинхронный АИР90L4 2,2*1500","http://kub-privod.ru/magazin/product/elektrodvigatel-asinhronnyy-air-90l4","Электродвигатель асинхронный АИР90L4 2,2*1500 (фланец)","18360.00","Асинхронные электродвигатели АИР (ранее выпускались двигатели 4А, 4АМ) с короткозамкнутым ротором, благодаря простоте конструкции, отсутствию подвижных контактов, высокой ремонтопригодности, невысокой цене по сравнению с другими электрическими двигателями применяются практически во всех отраслях промышленности и сельского хозяйства. Они используются для привода вентиляционного оборудования, насосов, компрессорных установок, станков, эскалаторов и многих других машин."
"1696074636-1","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/1","Электродвигатель АИР 71А4 0,55кВт*1500об/мин 1081 лапы","http://kub-privod.ru/magazin/product/elektrodvigatel-air-71a4-0-55kvt-1500ob-min-1081-lapy","Электродвигатель АИР 71А4 0,55кВт*1500об/мин 1081 лапы","7120.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074637-91","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/16","Электродвигатель асинхронный 1LA7096-2AA1 Лапы","http://kub-privod.ru/magazin/product/elektrodvigatel-asinhronnyy-1la7096-2aa1","Электродвигатель асинхронный 1LA7096-2AA1 Лапы","20220.00","Электродвигатели Siemens 1LA7 позиционируются как самые популярные на рынке России и всего мирового пространства. Универсальное устройство электродвигателя говорит о возможности их успешного применения для решения большинства приводных задач."
"1696074639-2","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/1","Электродвигатель асинхронный АИР56А2 0,18*3000 1081 (лапы)","http://kub-privod.ru/magazin/product/elektrodvigatel-asinhronnyj-air-71a2-0-75-kvt-3000-ob-min","Электродвигатель асинхронный АИР56А2 0,18*3000 1081 (лапы)","6960.00","Асинхронные электродвигатели АИР (ранее выпускались двигатели 4А, 4АМ) с короткозамкнутым ротором, благодаря простоте конструкции, отсутствию подвижных контактов, высокой ремонтопригодности, невысокой цене по сравнению с другими электрическими двигателями применяются практически во всех отраслях промышленности и сельского хозяйства. Они используются для привода вентиляционного оборудования, насосов, компрессорных установок, станков, эскалаторов и многих других машин."
"1696074640-92","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/16","Электродвигатель асинхронный MS90L-4","http://kub-privod.ru/magazin/product/elektrodvigatel-asinhronnyy-ms802-4","Электродвигатель асинхронный MS90L-4","19970.01","Габаритные и присоединительные размеры, которыми характеризуются электродвигатели трехфазные, соответствуют общепринятому стандарту IEC, что обеспечивает взаимозаменяемость данных двигателей практически со всеми аналогами других производителей. Высокие показатели энергоэффективности и долговечности, широкий диапазон мощностей и оборотов, европейское качество по приемлемым ценам."
"1696074642-3","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/1","Электродвигатель АИР 71А2 0,75кВт*3000об/мин 1081 лапы","http://kub-privod.ru/magazin/product/elektrodvigatel-air-71a2-0-75kvt-3000ob-min-1081-lapy","Электродвигатель АИР 71А2 0,75кВт*3000об/мин 1081 лапы","6740.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074643-93","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/16","Электродвигатель АИР 100L4 4кВт*1500об/мин 2081 комб","http://kub-privod.ru/magazin/product/elektrodvigatel-air-100l4-4kvt-1500ob-min-2081-komb","Электродвигатель АИР 100L4 4кВт*1500об/мин 2081 комб","19840.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074645-4","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/1","Электродвигатель АИР63В4-У2-220/380-50IM2081 (Могилев)","http://kub-privod.ru/magazin/product/elektrodvigatel-air63v4-u2-220/380-50im2081-mogilev","Электродвигатель АИР63В4-У2-220/380-50IM2081 (Могилев)","6740.00","Асинхронные электродвигатели АИР (ранее выпускались двигатели 4А, 4АМ) с короткозамкнутым ротором, благодаря простоте конструкции, отсутствию подвижных контактов, высокой ремонтопригодности, невысокой цене по сравнению с другими электрическими двигателями применяются практически во всех отраслях промышленности и сельского хозяйства. Они используются для привода вентиляционного оборудования, насосов, компрессорных установок, станков, эскалаторов и многих других машин."
"1696074646-94","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/16","Электродвигатель АИР 100L2 5,5кВт*3000об/мин 2081 комб","http://kub-privod.ru/magazin/product/elektrodvigatel-air-100l2-5-5kvt-3000ob-min-2081-komb","Электродвигатель АИР 100L2 5,5кВт*3000об/мин 2081 комб","19680.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074648-5","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/1","Электродвигатель АИР 63В2 0,55кВт*3000об/мин 2081 комб","http://kub-privod.ru/magazin/product/elektrodvigatel-air-63v2-0-55kvt-3000ob-min-2081-komb","Электродвигатель АИР 63В2 0,55кВт*3000об/мин 2081 комб","6000.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074649-95","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/16","Электродвигатель АИР 100L4 4кВт*1500об/мин 1081 лапы","http://kub-privod.ru/magazin/product/elektrodvigatel-air-100l4-4kvt-1500ob-min-1081-lapy","Электродвигатель АИР 100L4 4кВт*1500об/мин 1081 лапы","19520.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
"1696074651-6","http://kub-privod.ru/magazin/folder/elektrodvigateli","http://kub-privod.ru/magazin/folder/elektrodvigateli/p/1","Электродвигатель АИР 63В4 0,37кВт*1500об/мин, 2081 комби","http://kub-privod.ru/magazin/product/elektrodvigatel-air63a2-adm63a2","Электродвигатель АИР 63В4 0,37кВт*1500об/мин, 2081 комби","5850.00","Базовое исполнение – режим работы S1, от сети трехфазного переменного тока 50 Гц напряжением 220В/380В. Климатическое исполнение и категория размещения У3."
