web-scraper-order,web-scraper-start-url,next,prod,prod-href,name,price,dis
"1696071703-1","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/?PAGEN_1=2","Офисный компьютер TopComp WO 3649400","https://topcomputer.ru/tovary/875243/","Офисный компьютер TopComp WO 3649400","18 390","Процессор:"
"1696071729-2","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/?PAGEN_1=2","Офисный компьютер TopComp WO 31987137","https://topcomputer.ru/tovary/2322878/","Офисный компьютер TopComp WO 31987137","18 390","Процессор:"
"1696071734-3","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/?PAGEN_1=2","Офисный компьютер TopComp WO 3649432","https://topcomputer.ru/tovary/875211/","Офисный компьютер TopComp WO 3649432","18 090","Процессор:"
"1696071759-4","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/?PAGEN_1=2","Офисный компьютер TopComp WO 3643811","https://topcomputer.ru/tovary/867346/","Офисный компьютер TopComp WO 3643811","18 090","Процессор:"
"1696071764-5","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/?PAGEN_1=2","Офисный компьютер TopComp WO 3649431","https://topcomputer.ru/tovary/875212/","Офисный компьютер TopComp WO 3649431","17 990","Процессор:"
"1696071782-6","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/?PAGEN_1=2","Офисный компьютер TopComp WO 3440457","https://topcomputer.ru/tovary/2172853/","Офисный компьютер TopComp WO 3440457","17 990","Процессор:"
"1696071790-7","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/?PAGEN_1=2","Офисный компьютер TopComp WO 3535810","https://topcomputer.ru/tovary/2172606/","Офисный компьютер TopComp WO 3535810","17 890","Процессор:"
"1696071795-8","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/?PAGEN_1=2","Офисный компьютер TopComp WO 3440456","https://topcomputer.ru/tovary/2172854/","Офисный компьютер TopComp WO 3440456","17 890","Процессор:"
"1696071820-9","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/?PAGEN_1=2","Офисный компьютер TopComp WO 3649399","https://topcomputer.ru/tovary/875244/","Офисный компьютер TopComp WO 3649399","17 790","Процессор:"
"1696071825-10","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/","https://topcomputer.ru/katalog/87-dlya-raboty-ofisa/?PAGEN_1=2","Офисный компьютер TopComp WO 3649398","https://topcomputer.ru/tovary/875245/","Офисный компьютер TopComp WO 3649398","17 690","Процессор:"
